T, °C	tg(δ)	ε	ε′	ε″
26	0.17142	42.4445	41.8343	7.17124
32	0.22023	43.841	42.815	9.42915
39	0.299896	45.825	43.8937	13.1636
48	0.408982	49.4555	45.7751	18.7212
57	0.529634	54.7339	48.3687	25.6177
66	0.659579	61.573	51.3994	33.9019
74	0.8089	69.4517	53.9975	43.6786
81	0.980083	79.6079	56.8547	55.7223
88	1.13528	93.9396	62.0925	70.4923
94	1.22709	114.61	72.4024	88.844
101	1.24334	143.417	89.8835	111.756
106	1.19913	178.926	114.594	137.414
111	1.12467	219.567	145.896	164.086
116	1.04635	261.922	180.966	189.353
120	0.964519	307.078	221.023	213.18
124	0.899346	348.484	259.111	233.03
128	0.846065	387.692	295.972	250.412
132	0.805841	423.103	329.447	265.482
135	0.777288	454.957	359.207	279.207
138	0.758984	483.212	384.903	292.135
141	0.749261	508.222	406.722	304.741
143	0.746341	531.535	425.975	317.923
146	0.749005	551.817	441.664	330.809
148	0.755935	570.8	455.34	344.207
150	0.766476	588.584	467.147	358.057
