F[Hz]	C[F]	L[H]	R[Ohm]	G[S]	B[S]	X[Ohm]	Z[Ohm]	D[]	Q[]	Phi[degree]	Ub[V]
25	3,22664139769176E-11	-1256057,5676593	177028117,684311	5,64882015964985E-09	-5,06839645537857E-09	-197301061,352216	131764072	1,11451821288671	0,8972486841735	-41,9	0
37	4,06646723189438E-11	-455008,5296752	832910704,274508	1,2006088946486E-09	-9,45363585051942E-09	-105779407,606974	104936536	0,126999697643593	7,87403449421087	-82,7622	0
55	2,96445560989254E-11	-282468,44084107	117905049,693229	8,48140094594631E-09	-1,02444231625246E-08	-97614085,6478994	75189592	0,827904198351778	1,20786922205593	-50,3785	0
81	2,30459912568576E-11	-167523,150820628	123589348,403671	8,09131217953969E-09	-1,17289809260126E-08	-85258898,9877367	70179616	0,689856367793619	1,44957711008499	-55,3999	0
119	2,03891693248986E-11	-87729,7330683578	120660059,544098	8,28774661456656E-09	-1,52449625662082E-08	-65595438,2083292	57629888	0,54363837094209	1,83945809098623	-61,4698	0
176	1,95872671339199E-11	-41748,5197235254	95420267,6215542	1,0479953839221E-08	-2,16603955152019E-08	-46167208,6873099	41558504	0,48383021592869	2,06684073684928	-64,1809	0
259	1,84371222341552E-11	-20480,8322352704	81532816,265994	1,22650001042229E-08	-3,00035585818344E-08	-33329379,8224804	30851214	0,408784846996405	2,44627462917869	-67,766	0
383	1,74038418228852E-11	-9921,96264989095	71679826,0218486	1,39509267181423E-08	-4,18816487171014E-08	-23876805,9670887	22653088	0,333103570310158	3,00206929355	-71,5769	0
565	1,66572809010251E-11	-4763,64356202463	62839509,4579147	1,59135551602249E-08	-5,91333421774096E-08	-16910933,2092179	16329946	0,269113068435768	3,71591021503543	-74,9378	0
835	1,60732009650567E-11	-2260,29402786559	55090407,1738909	1,81519805588573E-08	-8,43274016193956E-08	-11858541,5985353	11593001	0,215256016553014	4,64563089112873	-77,8521	0
1233	1,56368947237937E-11	-1065,5248870787	48155413,7520124	2,07660971443363E-08	-1,21141642351035E-07	-8254799,75830506	8136126	0,171419973688007	5,83362591001239	-80,2729	0
1821	1,53027050511534E-11	-499,174238499992	42101239,4707434	2,37522698279444E-08	-1,75088661129805E-07	-5711392,12298066	5659552,5	0,135658526798233	7,37144965083778	-82,2745	0
2689	1,50405194032863E-11	-232,914123708628	36559251,3130906	2,73528577332199E-08	-2,54116874347313E-07	-3935197,15118665	3912596,5	0,10763888782858	9,29032267216048	-83,8564	0
3971	1,48397960944008E-11	-108,246174143413	31644932,4373011	3,160063627822E-08	-3,70260760652845E-07	-2700799,29138804	2691016,25	0,0853469760676278	11,716876755043	-85,1218	0
5864	1,46592973928857E-11	-50,2503608235891	27015664,1497324	3,70155623218282E-08	-5,40115928804344E-07	-1851454,3761257	1847121,75	0,0685326248455023	14,591590534499	-86,0795	0
8660	1,45406486254078E-11	-23,2284750558136	22877601,2952346	4,37108762887786E-08	-7,91191367668199E-07	-1263916,72212906	1261992,25	0,055246907480302	18,1005606577444	-86,8378	0
12789	1,4434027151102E-11	-10,7295021384826	19108762,2288123	5,23320133468507E-08	-1,1598557333457E-06	-862176,192478192	861299,9375	0,0451194160121056	22,1634074282278	-87,4166	0
18886	1,43373326414607E-11	-4,95326919421847	15761333,7139411	6,34464074011381E-08	-1,70132864871362E-06	-587775,913111264	587367,625	0,0372922700438332	26,8152085894638	-87,8643	0
27890	1,42557312932122E-11	-2,28430312564795	12782418,4210042	7,82324570408983E-08	-2,4981463851746E-06	-400296,798432053	400100,65625	0,0313162020869447	31,932352372221	-88,2063	0
41186	1,42009675266195E-11	-1,05153346499859	10219880,53015	9,78485019516484E-08	-3,67491601070565E-06	-272115,062517574	272018,65625	0,0266260512258237	37,5572025877474	-88,4748	0
60822	1,42072690671034E-11	-0,481956968507159	8005333,67004866	1,24916716931041E-07	-5,429391650754E-06	-184182,697496344	184133,96875	0,0230074978867464	43,4640917896621	-88,682	0
89819	1,41220365464291E-11	-0,222334317258881	6207396,95346344	1,61098123335265E-07	-7,96976314980886E-06	-125474,24323695	125448,6171875	0,0202136651123852	49,4714834959487	-88,842	0
132640	1,40866277762083E-11	-0,102207837085119	4782857,20958052	2,09080044872948E-07	-1,17398195239053E-05	-85180,1850926022	85166,6796875	0,0178094769214473	56,1498804490847	-88,9797	0
195875	1,40275578838751E-11	-0,0470652288628131	3658391,9349441	2,73344140754367E-07	-1,72639809177497E-05	-57924,0677317862	57916,80859375	0,0158332045231428	63,1584085545245	-89,0929	0
289258	1,39983015408899E-11	-0,0216268944482952	2911356,15633515	3,43482537450454E-07	-2,54413757339398E-05	-39306,0505240666	39302,46875	0,0135009419711621	74,0689058686415	-89,2265	0
427160	1,39399467836486E-11	-0,00995859319087951	2153163,53736512	4,64432906579742E-07	-3,74137777465397E-05	-26728,1215699339	26726,0625	0,0124134191881411	80,5579820389317	-89,2888	0
630808	1,38104459618054E-11	-0,00460933396265022	2188403,49320562	4,5695412345334E-07	-5,4737475487924E-05	-18269,0193708443	18268,3828125	0,00834810373295625	119,78768256703	-89,5217	0
931543	1,38167397511206E-11	-0,00211265641366813	1284156,26082015	7,78721430179635E-07	-8,08701693327023E-05	-12365,4990245658	12364,92578125	0,00962927908529475	103,849934262175	-89,4483	0
1375654	1,38479064587437E-11	-0,000966579792407988	897395,46263058	1,11433592172246E-06	-0,000119694227156974	-8354,62180384474	8354,259765625	0,00930985518842989	107,413056353742	-89,4666	0
2031492	1,38899462352119E-11	-0,000441885209891262	633271,627933558	1,57910121958743E-06	-0,000177294616862578	-5640,32917465906	5640,10546875	0,00890665067857869	112,275650644421	-89,4897	0
3000000	1,39641814452988E-11	-0,000201549753161207	642287,385294109	1,55693545116427E-06	-0,000263218619051673	-3799,1233431845	3799,05688476563	0,00591498981634965	169,061998591425	-89,6611	0
